faq_id,domain,category,question,answer,created_date
FAQ-001,E-Commerce / Retail,billing,How long does a refund take?,Refunds are processed within 3–5 business days for cards. Bank transfers may take up to 10 business days.,2025-08-15
FAQ-002,E-Commerce / Retail,billing,I was charged twice. What should I do?,Contact support with your order number and both transaction IDs. We will verify and refund the duplicate within 2 business days.,2025-10-17
FAQ-003,E-Commerce / Retail,billing,Why was I charged after cancelling?,"Cancellations within 1 hour are voided. If charged, it's a temporary authorisation that drops off within 3–5 days.",2025-12-09
FAQ-004,E-Commerce / Retail,billing,My promo code didn't apply. Can I still get it?,Contact support within 24 hours with your order number and code. We will apply as a partial refund.,2025-10-10
FAQ-005,E-Commerce / Retail,billing,How do I get an invoice?,Go to My Orders → select order → Download Invoice. Invoices are also emailed at purchase.,2025-09-18
FAQ-006,E-Commerce / Retail,billing,Can I get price adjustment if price drops?,We offer price adjustment within 48 hours if the same item drops in price. Contact support with order number.,2025-10-04
FAQ-007,E-Commerce / Retail,billing,Why is my refund only partial?,Partial refunds occur when items lack original packaging or are damaged. Check return confirmation for breakdown.,2025-09-14
FAQ-008,E-Commerce / Retail,billing,Invoice shows different amount than I paid.,Invoices reflect final settled amount. Discrepancies can be from tax adjustments or conversion. Contact support.,2025-10-25
FAQ-009,E-Commerce / Retail,billing,How do I cancel a subscription?,Go to Account → Subscriptions → select → Cancel. Takes effect at end of current cycle.,2025-10-04
FAQ-010,E-Commerce / Retail,billing,Gift card wasn't deducted at checkout.,"Codes are case-sensitive with no spaces. If correct but not working, contact support with card number.",2025-08-19
FAQ-011,E-Commerce / Retail,billing,Are there hidden fees?,"We only charge product price, taxes, and selected shipping. No hidden fees. All shown before payment confirmation.",2025-10-10
FAQ-012,E-Commerce / Retail,billing,How do I dispute an unrecognised charge?,"Check if a family member ordered. If not, contact support immediately with transaction date and amount.",2025-09-04
FAQ-013,E-Commerce / Retail,billing,Can I change payment method after ordering?,Payment methods cannot be changed once confirmed. Cancel and re-order with correct method.,2026-01-18
FAQ-014,E-Commerce / Retail,billing,What happens to refund if I paid with gift card?,"Refunds return to original gift card. If card fully redeemed and partially paid by card, card portion refunds to card.",2026-02-03
FAQ-015,E-Commerce / Retail,billing,Why am I charged a maintenance fee?,"We don't charge maintenance fees. If you see one, contact support immediately — may indicate billing error.",2025-12-18
FAQ-016,E-Commerce / Retail,billing,How do I get VAT invoice for business?,"Go to My Orders → select order → Download VAT Invoice. If account not set up, contact support with VAT number.",2025-11-16
FAQ-017,E-Commerce / Retail,billing,Refund issued but not in my bank.,"Refunds take 3–10 business days depending on bank. If over 10 days, contact support with confirmation number.",2026-01-23
FAQ-018,E-Commerce / Retail,billing,Can I get instalment payment?,We partner with Klarna and Afterpay for orders over $50. Select 'Pay in instalments' at checkout.,2025-11-04
FAQ-019,E-Commerce / Retail,billing,How do I remove saved credit card?,"Go to Account → Payment Methods → select card → Remove. If linked to subscription, update subscription first.",2025-11-06
FAQ-020,E-Commerce / Retail,billing,Will I be charged during free trial?,No charge during trial. Email notification 3 days before trial ends. Cancel anytime before to avoid charge.,2025-11-02
FAQ-021,E-Commerce / Retail,billing,What if my order total doesn't match at checkout?,"Verify all items, quantities, shipping, and taxes. Contact support before completing if total seems wrong.",2025-09-24
FAQ-022,E-Commerce / Retail,billing,Can I split payment across multiple cards?,"We currently don't support split payments. Use gift cards to offset, then pay remainder with one card.",2025-09-04
FAQ-023,E-Commerce / Retail,billing,How do subscription renewals work?,Auto-renew at end of cycle. Email reminder 7 days before. Update or cancel anytime in Account → Subscriptions.,2025-12-26
FAQ-024,E-Commerce / Retail,billing,Why was I charged shipping on free shipping order?,Free shipping has minimum order value or item restrictions. Check promotion terms or contact support.,2025-08-19
FAQ-025,E-Commerce / Retail,billing,Can I get a receipt for tax purposes?,Invoices serve as receipts for tax. Download from My Orders or contact support for specific tax documentation.,2025-08-24
FAQ-026,E-Commerce / Retail,delivery,How do I track my order?,Go to My Orders → select order → Track Package. Real-time carrier updates and estimated delivery shown.,2025-10-03
FAQ-027,E-Commerce / Retail,delivery,My order is late. What to do?,"Check tracking first. If no update for 3+ business days, contact support with order number.",2025-10-01
FAQ-028,E-Commerce / Retail,delivery,Package says delivered but I didn't get it.,"Check with neighbours and safe locations. If not found, contact support within 7 days to file claim.",2025-08-20
FAQ-029,E-Commerce / Retail,delivery,Can I change delivery address after ordering?,Only if carrier hasn't picked up yet. Contact support immediately with order number to request.,2025-12-03
