ticket_id,industry,category,priority,sentiment,title,description,created_date,channel,resolution_time_hours
TKT-000002,E-Commerce / Retail,account,high,negative,Account suspended without notification,"Hi,

I logged in to find my account suspended. No email, no warning. I have 28 pending orders. I am very frustrated.

Thanks,",2025-05-08,web,8
TKT-000004,E-Commerce / Retail,technical,medium,neutral,Website logs me out every few minutes,"Hey,

The site logs me out every 5 minutes even when actively using it. Cookies are enabled.

Thanks,",2025-05-22,mobile,48
TKT-000008,E-Commerce / Retail,technical,medium,neutral,Website logs me out every few minutes,The site logs me out every 4 minutes even when actively using it. Cookies are enabled.,2025-10-04,mobile,96
TKT-000011,E-Commerce / Retail,billing,medium,negative,Refund for order ORD-8311097 not received after 28 days,"Hi,

I cancelled order ORD-8311097 on 2026-01-22. The $178 refund was promised within 3 business days. Still nothing. ",2025-08-12,web,96
TKT-000013,E-Commerce / Retail,billing,low,positive,Partial refund for order ORD-8529542 is short,"Good afternoon,

I returned 3 items from order ORD-8529542 worth $649. The refund I got was only $12. I'm owed $637 more.

I expect a quick resolution.",2025-05-11,web,24
TKT-000014,E-Commerce / Retail,delivery,high,negative,Damaged item in order ORD-7560979,"To whom it may concern,

The item in order ORD-7560979 arrived with a soaked outer box. Product inside is unusable. I have photos. 

Thanks,",2025-09-14,mobile,8
TKT-000015,E-Commerce / Retail,account,medium,neutral,Loyalty points dropped to zero after app update,"Good afternoon,

I had 4745 points. After the app updated on 2026-02-08 they all vanished.

Regards,",2025-10-28,chat,72
TKT-000017,E-Commerce / Retail,technical,medium,neutral,Product images broken on all pages,"All images show broken icons on Edge v119 on iOS 17. Cleared cache.

Thanks,",2025-06-25,email,96
TKT-000018,E-Commerce / Retail,billing,high,negative,Price mismatch between cart and final checkout,"Good morning,

Product showed $711 in cart but jumped to $767 at final checkout. I expected the advertised price. I need this resolved immediately.",2025-02-25,email,4
TKT-000022,E-Commerce / Retail,technical,medium,neutral,Payment page 504 Gateway Timeout,"Dear support team,

Every time I click 'Proceed to Payment' I get a 504 error after ~30s. Tried Firefox and mobile.",2025-02-28,email,96
TKT-000023,E-Commerce / Retail,billing,high,negative,Price mismatch between cart and final checkout,"To whom it may concern,

Product showed $609 in cart but jumped to $647 at final checkout. I expected the advertised price. I need this resolved immediately.

Looking forward to your response.",2025-06-09,web,8
TKT-000026,E-Commerce / Retail,billing,high,negative,Promo code not applied — order ORD-6065908,"Good morning,

I used code WELCOME20 at checkout for order ORD-6065908 but the 5% discount was never deducted. I was charged $464.",2025-10-12,mobile,8
TKT-000030,E-Commerce / Retail,technical,medium,positive,App crashes at payment on macOS Sonoma,"Good afternoon,

The app crashes every time I reach the payment screen. Reinstalled twice. Version 4.2.0.",2026-01-24,email,24
TKT-000032,E-Commerce / Retail,delivery,high,negative,Return pickup for ORD-3391824 never scheduled,"Hey,

I requested a return pickup for order ORD-3391824 on 2026-02-04 but no one has contacted me to arrange it. ",2025-11-03,email,24
TKT-000034,E-Commerce / Retail,delivery,medium,negative,Package ORD-4433479 marked delivered but missing,"I can't believe that dHL shows order ORD-4433479 delivered 2026-02-10 but nothing is at my door or with neighbours. Tracking: 1Z7640767377.

Best,",2025-08-23,web,48
TKT-000038,E-Commerce / Retail,technical,medium,neutral,App crashes at payment on iOS 17,"The app crashes every time I reach the payment screen. Reinstalled twice. Version 4.1.2.

I expect a quick resolution.",2025-03-22,mobile,72
TKT-000046,E-Commerce / Retail,billing,medium,neutral,Double charge on order ORD-5172054,"I was charged twice for order ORD-5172054. Both $212 charges appeared on my credit card on 2026-02-08. Please refund the duplicate.

Regards,",2025-04-07,web,24
TKT-000047,E-Commerce / Retail,account,medium,neutral,Locked out by two-factor authentication,"Hi,

I got a new phone and cannot get past the 2FA screen.",2025-08-17,email,48
TKT-000049,E-Commerce / Retail,delivery,high,negative,Wrong item in order ORD-9444062,"Hey,

I can't believe that i ordered a size M navy hoodie but received the wrong colour in order ORD-9444062. Please fix this as soon as possible.

Regards,",2025-05-03,web,24
TKT-000056,E-Commerce / Retail,account,high,neutral,Account suspended without notification,"Hello,

I logged in to find my account suspended. No email, no warning. I have 6 pending orders.

Please help ASAP.",2025-06-08,mobile,2
TKT-000059,E-Commerce / Retail,delivery,high,negative,Package ORD-3864992 delivered to someone else,"To whom it may concern,

Delivery photo shows my package left at a different house. My address is clearly on the label. I need this resolved immediately.",2025-03-16,web,8
TKT-000061,E-Commerce / Retail,technical,low,neutral,Product images broken on all pages,"Good afternoon,

All images show broken icons on Safari v120 on macOS Sonoma. Cleared cache.

I expect a quick resolution.",2025-12-27,mobile,24
TKT-000063,E-Commerce / Retail,delivery,high,negative,Package ORD-4248028 delivered to someone else,"Dear support team,

I'm really frustrated because delivery photo shows my package left at a different house. My address is clearly on the label.

I expect a quick resolution.",2025-04-08,web,2
TKT-000068,E-Commerce / Retail,technical,high,neutral,Product images broken on all pages,"Hey,

All images show broken icons on Firefox v119 on Android 14. Cleared cache.",2025-08-03,email,48
TKT-000069,E-Commerce / Retail,billing,high,negative,Promo code not applied — order ORD-4655356,"To whom it may concern,

I'm having a serious issue — i used code FLASH30 at checkout for order ORD-4655356 but the 69% discount was never deducted. I was charged $168.",2025-07-30,mobile,24
TKT-000070,E-Commerce / Retail,technical,low,neutral,Search returns zero results for existing products,"Good morning,

Searching 'running shoes' returns nothing, yet these products appear on the homepage.

Looking forward to your response.",2025-06-10,mobile,48
TKT-000072,E-Commerce / Retail,technical,medium,neutral,Wishlist items disappear after logout,"Hey,

I save items to my wishlist but every time I log out and back in the wishlist is empty.

Please help ASAP.",2026-01-17,web,24
