Description,Resolution,Topic,Priority,Survey results
"When I use my monitor, it sometimes no display. Not urgent but would like it looked at.",Tested with different cable and power source. Replaced faulty video cable and reseated connections. Display now working correctly.,Hardware Failure,Low,Satisfied
"When I use my keyboard, it sometimes not detected. Not urgent but would like it looked at.",Reseated USB connection and updated chipset drivers. Disabled/re-enabled USB port in BIOS. Keyboard now detected and working.,Hardware Failure,Low,Satisfied
I'm having trouble with internal network for 2 days. It's affecting my work.,Checked internal network settings and found misconfiguration. Updated settings and tested connection successfully.,Network Issue,Medium,Dissatisfied
Our project deadline is tomorrow and I need to understand where is the IT documentation? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to where is the IT documentation. Escalated to Security team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Neutral
My printer is won't print. Can you help me fix this?,Reset printer to factory defaults and reinstalled drivers. Verified print queue was cleared. Test print successful.,Hardware Failure,Medium,Neutral
Sometimes Slack on Windows 11 shows 'NullPointerException' but I can work around it. Just wanted to report it.,Investigated NullPointerException in Slack. Non-critical issue. Documented workaround and scheduled for next update.,Software Bug,Low,Neutral
Outlook is crashing with 'connection timeout' on macOS. Preventing work from being completed. Urgent fix needed.,Reproduced connection timeout issue in Outlook. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
"When you get a chance, I'd like admin access on VPN. project deadline tomorrow.",Processed access request and granted admin access on VPN. User confirmed receipt.,Access Request,Low,Satisfied
My monitor is no display. Can you help me fix this?,Tested with different cable and power source. Replaced faulty video cable and reseated connections. Display now working correctly.,Hardware Failure,Medium,Neutral
I need admin access on Confluence urgently. project deadline tomorrow. Please process ASAP.,Approved access request. Granted admin access to Confluence. User notified and confirmed access successful.,Access Request,High,Dissatisfied
5 users are having trouble connecting to WiFi for 2 days. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with WiFi. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Dissatisfied
I need admin access on Jira urgently. new joiner starting Monday. Please process ASAP.,Approved access request. Granted admin access to Jira. User notified and confirmed access successful.,Access Request,High,Dissatisfied
My printer is won't print and impacting my team's work. We need this fixed urgently to meet our deadline.,Reset printer to factory defaults and reinstalled drivers. Verified print queue was cleared. Test print successful.,Hardware Failure,High,Dissatisfied
I need quick help with: where is the IT documentation? This is important for my current project.,Answered question about where is the IT documentation. Provided step-by-step guidance and resources. User able to proceed with task.,General Inquiry,High,Neutral
Can I please get write access on VPN? I need it for project deadline tomorrow.,Reviewed and approved access request. Provisioned write access on VPN. User now has necessary permissions.,Access Request,Medium,Neutral
I need quick help with: where is the backup location? This is important for my current project.,Answered question about where is the backup location. Provided step-by-step guidance and resources. User able to proceed with task.,General Inquiry,High,Neutral
I need write access on Jira urgently. quarterly reviews starting. Please process ASAP.,Approved access request. Granted write access to Jira. User notified and confirmed access successful.,Access Request,High,Dissatisfied
"When I use my desktop, it sometimes blue screen. Not urgent but would like it looked at.",Analyzed minidump file. Identified driver incompatibility. Updated GPU drivers and disabled problematic third-party service. Stability confirmed.,Hardware Failure,Low,Satisfied
URGENT: Need immediate admin access to Confluence. NEW JOINER STARTING MONDAY. BLOCKING MY WORK.,Verified user credentials and role. Provisioned admin access on Confluence. Sent user instructions and confirmed access working. Issue resolved same-day.,Access Request,Critical,Dissatisfied
My monitor is no display and impacting my team's work. We need this fixed urgently to meet our deadline.,Tested with different cable and power source. Replaced faulty video cable and reseated connections. Display now working correctly.,Hardware Failure,High,Dissatisfied
"When you get a chance, I'd like write access on VPN. new joiner starting Monday.",Processed access request and granted write access on VPN. User confirmed receipt.,Access Request,Low,Satisfied
Chrome is giving me a 'crash on launch' error on Windows 11. Can you help me fix this?,Found crash on launch in Chrome. Applied patch and restarted application. Issue resolved.,Software Bug,Medium,Neutral
Just curious - what's the process for submitting expenses?,Answered inquiry about what's the process for submitting expenses. Directed to self-service resources for future reference.,General Inquiry,Low,Neutral
My monitor is no display and impacting my team's work. We need this fixed urgently to meet our deadline.,Tested with different cable and power source. Replaced faulty video cable and reseated connections. Display now working correctly.,Hardware Failure,High,Dissatisfied
Just curious - how to reset my password?,Answered inquiry about how to reset my password. Directed to self-service resources for future reference.,General Inquiry,Low,Neutral
Quick question: where is the IT documentation?,Provided answer: where is the IT documentation. Linked to relevant documentation for additional details.,General Inquiry,Medium,Neutral
entire floor are having trouble connecting to internal network for 2 days. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with internal network. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Dissatisfied
20 users are having trouble connecting to internet intermittently all week. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with internet. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Neutral
"When you get a chance, I'd like write access on Jira. new joiner starting Monday.",Processed access request and granted write access on Jira. User confirmed receipt.,Access Request,Low,Satisfied
Quick question: what's the process for submitting expenses?,Provided answer: what's the process for submitting expenses. Linked to relevant documentation for additional details.,General Inquiry,Medium,Neutral
My laptop is won't boot. Can you help me fix this?,"Ran startup repair utility, found corrupted boot sector. Repaired MBR and verified successful boot. User confirmed system working normally.",Hardware Failure,Medium,Neutral
5 users are having trouble connecting to internet for 2 days. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with internet. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Dissatisfied
I'm onboarding a critical client and need immediate clarification on where is the IT documentation? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to where is the IT documentation. Escalated to Security team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Neutral
CRITICAL: entire department cannot work - monitor flickering issue. entire department productivity is stopped. Need emergency response.,Adjusted refresh rate setting and updated GPU drivers. Verified stable output at 60Hz. Flickering issue resolved.,Hardware Failure,Critical,Dissatisfied
"When I use my laptop, it sometimes overheating. Not urgent but would like it looked at.",Cleaned internal dust buildup and reapplied thermal paste to CPU. Verified fan operation. Temperature now normal under load.,Hardware Failure,Low,Satisfied
My desktop is blue screen. Can you help me fix this?,Analyzed minidump file. Identified driver incompatibility. Updated GPU drivers and disabled problematic third-party service. Stability confirmed.,Hardware Failure,Medium,Neutral
5 users are having trouble connecting to internet since this morning. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with internet. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Neutral
Just curious - how to reset my password?,Answered inquiry about how to reset my password. Directed to self-service resources for future reference.,General Inquiry,Low,Neutral
I'm having trouble with internet intermittently all week. It's affecting my work.,Checked internet settings and found misconfiguration. Updated settings and tested connection successfully.,Network Issue,Medium,Neutral
"When you get a chance, I'd like contributor role on AWS console. new joiner starting Monday.",Processed access request and granted contributor role on AWS console. User confirmed receipt.,Access Request,Low,Satisfied
CRITICAL BUG: our internal CRM on Windows 11 is completely broken - connection timeout. ENTIRE TEAM BLOCKED. NEEDS IMMEDIATE FIX.,Identified connection timeout error in our internal CRM. Deployed hotfix and cleared application cache. Rolled out patch to all users. Verified functionality restored across all instances.,Software Bug,Critical,Dissatisfied
Outlook is giving me a '403 Forbidden' error on macOS. Can you help me fix this?,Found 403 Forbidden in Outlook. Applied patch and restarted application. Issue resolved.,Software Bug,Medium,Neutral
"When I use my keyboard, it sometimes not detected. Not urgent but would like it looked at.",Reseated USB connection and updated chipset drivers. Disabled/re-enabled USB port in BIOS. Keyboard now detected and working.,Hardware Failure,Low,Satisfied
Just curious - how to enable two-factor authentication?,Answered inquiry about how to enable two-factor authentication. Directed to self-service resources for future reference.,General Inquiry,Low,Neutral
My printer is paper jam. Can you help me fix this?,Opened access panel and carefully removed stuck paper. Inspected rollers for damage. Printer now functioning without errors.,Hardware Failure,Medium,Neutral
"When I use my printer, it sometimes offline. Not urgent but would like it looked at.",Checked network connectivity and printer IP address. Restarted printer and reconnected to network. Status now online.,Hardware Failure,Low,Satisfied
20 users are having trouble connecting to VPN intermittently all week. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with VPN. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Neutral
CRITICAL BUG: Teams on Windows 10 is completely broken - 403 Forbidden. ENTIRE TEAM BLOCKED. NEEDS IMMEDIATE FIX.,Identified 403 Forbidden error in Teams. Deployed hotfix and cleared application cache. Rolled out patch to all users. Verified functionality restored across all instances.,Software Bug,Critical,Dissatisfied
Just curious - how to reset my password?,Answered inquiry about how to reset my password. Directed to self-service resources for future reference.,General Inquiry,Low,Neutral
5 users are having trouble connecting to WiFi suddenly just now. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with WiFi. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Neutral
I need admin access on SharePoint urgently. new joiner starting Monday. Please process ASAP.,Approved access request. Granted admin access to SharePoint. User notified and confirmed access successful.,Access Request,High,Dissatisfied
1 user are having trouble connecting to WiFi for 2 days. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with WiFi. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Dissatisfied
Quick question: where is the backup location?,Provided answer: where is the backup location. Linked to relevant documentation for additional details.,General Inquiry,Medium,Neutral
CRITICAL BUG: our internal CRM on Windows 10 is completely broken - NullPointerException. ENTIRE TEAM BLOCKED. NEEDS IMMEDIATE FIX.,Identified NullPointerException error in our internal CRM. Deployed hotfix and cleared application cache. Rolled out patch to all users. Verified functionality restored across all instances.,Software Bug,Critical,Dissatisfied
Sometimes Outlook on Windows 11 shows 'crash on launch' but I can work around it. Just wanted to report it.,Investigated crash on launch in Outlook. Non-critical issue. Documented workaround and scheduled for next update.,Software Bug,Low,Neutral
Adobe Reader is giving me a 'infinite loop' error on macOS. Can you help me fix this?,Found infinite loop in Adobe Reader. Applied patch and restarted application. Issue resolved.,Software Bug,Medium,Neutral
"When I use my desktop, it sometimes won't boot. Not urgent but would like it looked at.",Checked BIOS settings and power supply. Found loose power connector on motherboard. Reseated connections and system boots successfully.,Hardware Failure,Low,Satisfied
CRITICAL: 1 USER CANNOT ACCESS VPN suddenly just now. ENTIRE TEAM DOWN. URGENT FIX NEEDED.,Identified routing failure on VPN. Reconfigured network switch and updated routing table. Reset credentials and verified connectivity for all affected users. Issue resolved.,Network Issue,Critical,Dissatisfied
My desktop is blue screen and impacting my team's work. We need this fixed urgently to meet our deadline.,Analyzed minidump file. Identified driver incompatibility. Updated GPU drivers and disabled problematic third-party service. Stability confirmed.,Hardware Failure,High,Dissatisfied
This is blocking my entire team from proceeding with what's the process for submitting expenses? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to what's the process for submitting expenses. Escalated to HR team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Dissatisfied
CRITICAL: 5 USERS CANNOT ACCESS WIFI suddenly just now. ENTIRE TEAM DOWN. URGENT FIX NEEDED.,Identified routing failure on WiFi. Reconfigured network switch and updated routing table. Reset credentials and verified connectivity for all affected users. Issue resolved.,Network Issue,Critical,Dissatisfied
Can I please get write access on VPN? I need it for new joiner starting Monday.,Reviewed and approved access request. Provisioned write access on VPN. User now has necessary permissions.,Access Request,Medium,Neutral
CRITICAL: entire department cannot work - desktop blue screen issue. entire department productivity is stopped. Need emergency response.,Analyzed minidump file. Identified driver incompatibility. Updated GPU drivers and disabled problematic third-party service. Stability confirmed.,Hardware Failure,Critical,Dissatisfied
I'm having trouble with WiFi intermittently all week. It's affecting my work.,Checked WiFi settings and found misconfiguration. Updated settings and tested connection successfully.,Network Issue,Medium,Neutral
My monitor is overheating and impacting my team's work. We need this fixed urgently to meet our deadline.,Cleaned ventilation vents and checked power supply. Verified thermal protection isn't triggering. Monitor operating normally.,Hardware Failure,High,Dissatisfied
I need quick help with: how to reset my password? This is important for my current project.,Answered question about how to reset my password. Provided step-by-step guidance and resources. User able to proceed with task.,General Inquiry,High,Neutral
our internal CRM is giving me a 'NullPointerException' error on Windows 10. Can you help me fix this?,Found NullPointerException in our internal CRM. Applied patch and restarted application. Issue resolved.,Software Bug,Medium,Neutral
VS Code is crashing with 'NullPointerException' on macOS. Preventing work from being completed. Urgent fix needed.,Reproduced NullPointerException issue in VS Code. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
Quick question: what is the policy on software licenses?,Provided answer: what is the policy on software licenses. Linked to relevant documentation for additional details.,General Inquiry,Medium,Neutral
My monitor is flickering. Can you help me fix this?,Adjusted refresh rate setting and updated GPU drivers. Verified stable output at 60Hz. Flickering issue resolved.,Hardware Failure,Medium,Neutral
Slack is crashing with 'Access Denied' on macOS. Preventing work from being completed. Urgent fix needed.,Reproduced Access Denied issue in Slack. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
I need admin access on Tableau urgently. project deadline tomorrow. Please process ASAP.,Approved access request. Granted admin access to Tableau. User notified and confirmed access successful.,Access Request,High,Dissatisfied
Can I please get contributor role on VPN? I need it for new joiner starting Monday.,Reviewed and approved access request. Provisioned contributor role on VPN. User now has necessary permissions.,Access Request,Medium,Neutral
CRITICAL: 20 USERS CANNOT ACCESS INTERNAL NETWORK intermittently all week. ENTIRE TEAM DOWN. URGENT FIX NEEDED.,Identified routing failure on internal network. Reconfigured network switch and updated routing table. Reset credentials and verified connectivity for all affected users. Issue resolved.,Network Issue,Critical,Dissatisfied
CRITICAL: 1 USER CANNOT ACCESS VPN suddenly just now. ENTIRE TEAM DOWN. URGENT FIX NEEDED.,Identified routing failure on VPN. Reconfigured network switch and updated routing table. Reset credentials and verified connectivity for all affected users. Issue resolved.,Network Issue,Critical,Dissatisfied
I need quick help with: how to reset my password? This is important for my current project.,Answered question about how to reset my password. Provided step-by-step guidance and resources. User able to proceed with task.,General Inquiry,High,Neutral
